calls,total_exec_time,mean_exec_time,rows,query
35245,3663.783649000014,0.10395186974038818,35245,"-- name: AllocateEventSeq :one
UPDATE runs SET next_seq = next_seq + $2 WHERE id = $1 RETURNING next_seq"
35245,1679.8931369999987,0.047663303645906964,35245,"-- name: AppendEvent :one

INSERT INTO events (run_id, seq, type, payload)
VALUES ($1, $2, $3, $4)
RETURNING run_id, seq, type, payload, created_at"
5320,1614.9866240000028,0.3035689142857134,5320,"copy ""step_logs"" ( ""run_id"", ""step_id"", ""attempt"", ""seq"", ""level"", ""message"", ""fields"", ""trace_id"", ""logged_at"" ) from stdin binary"
29448,1296.9336790000068,0.04404148597527835,29448,"-- name: GetRun :one
SELECT id, definition_id, definition, status, params, idempotency_token, graph_version, next_seq, steps_total, steps_succeeded, steps_failed, steps_skipped, created_at, started_at, finished_at, on_failure, steps_cancelled, park_reason, cancel_reason, deadline_at, idempotency_fingerprint, trace_parent, trace_state, spent_nano_usd, saved_nano_usd, budget_nano_usd, on_budget_exceeded, expansion_caps, steps_collected FROM runs WHERE id = $1"
57190,1058.8570160000043,0.018514723133414755,57190,"-- name: LockRun :one
SELECT id, status, trace_parent, trace_state,
       budget_nano_usd, spent_nano_usd, on_budget_exceeded,
       started_at, deadline_at
FROM runs WHERE id = $1 FOR UPDATE"
5985,808.8687369999994,0.13514932949039174,5985,"-- name: SucceedRunStep :one
UPDATE run_steps
SET status      = 'succeeded',
    output      = $1,
    feedback    = NULL,
    finished_at = $2::timestamptz,
    updated_at  = $2::timestamptz
WHERE run_id = $3 AND step_id = $4
  AND status = 'running' AND claim_id = $5
RETURNING run_id, step_id, step_type, config, status, remaining_deps, fired_deps, claim_id, attempt_count, output, error, graph_version, created_at, updated_at, started_at, finished_at, retry_policy, next_attempt_at, timeout, trace_span, cache_policy, budget_policy, validation_policy, feedback, blackboard_policy, context_policy, depth, origin_step, origin_kind"
71155,768.0008850000047,0.010793350924039203,71155,"SELECT $2 FROM ONLY ""public"".""runs"" x WHERE ""id"" OPERATOR(pg_catalog.=) $1 FOR KEY SHARE OF x"
2660,708.9047410000026,0.26650554172932356,5985,"copy ""run_steps"" ( ""run_id"", ""step_id"", ""step_type"", ""config"", ""retry_policy"", ""timeout"", ""cache_policy"", ""budget_policy"", ""validation_policy"", ""blackboard_policy"", ""context_policy"", ""status"", ""remaining_deps"", ""fired_deps"", ""graph_version"", ""updated_at"", ""depth"", ""origin_step"", ""origin_kind"" ) from stdin binary"
5985,678.1349249999988,0.11330575187969966,5985,"-- name: ClaimRunStep :one

UPDATE run_steps
SET status          = 'running',
    claim_id        = $1,
    attempt_count   = attempt_count + 1,
    next_attempt_at = NULL,
    trace_span      = $2::text,
    started_at      = COALESCE(started_at, $3::timestamptz),
    updated_at      = $3::timestamptz
WHERE run_id = $4 AND step_id = $5
  AND (status = 'ready'
       OR (status = 'retrying' AND next_attempt_at <= $3::timestamptz))
RETURNING run_id, step_id, step_type, config, status, remaining_deps, fired_deps, claim_id, attempt_count, output, error, graph_version, created_at, updated_at, started_at, finished_at, retry_policy, next_attempt_at, timeout, trace_span, cache_policy, budget_policy, validation_policy, feedback, blackboard_policy, context_policy, depth, origin_step, origin_kind"
5320,640.7139119999966,0.12043494586466165,5320,"-- name: AddRunCost :one
UPDATE runs
SET spent_nano_usd = spent_nano_usd + $1::bigint,
    saved_nano_usd = saved_nano_usd + $2::bigint
WHERE id = $3
RETURNING spent_nano_usd, saved_nano_usd, budget_nano_usd"
