calls,total_exec_time,mean_exec_time,rows,query
81718,6655.885346999953,0.08144944011111205,81718,"-- name: LockRun :one
SELECT id, status, trace_parent, trace_state,
       budget_nano_usd, spent_nano_usd, on_budget_exceeded,
       started_at, deadline_at
FROM runs WHERE id = $1 FOR UPDATE"
38165,3428.676242000013,0.08983823508450092,38165,"-- name: AllocateEventSeq :one
UPDATE runs SET next_seq = next_seq + 1 WHERE id = $1 RETURNING next_seq"
42700,3066.4882770000095,0.07181471374707346,42700,"-- name: GetRun :one
SELECT id, definition_id, definition, status, params, idempotency_token, graph_version, next_seq, steps_total, steps_succeeded, steps_failed, steps_skipped, created_at, started_at, finished_at, on_failure, steps_cancelled, park_reason, cancel_reason, deadline_at, idempotency_fingerprint, trace_parent, trace_state, spent_nano_usd, saved_nano_usd, budget_nano_usd, on_budget_exceeded, expansion_caps, steps_collected FROM runs WHERE id = $1"
6331,1871.5024090000022,0.295609289053863,97967,"-- name: ListRunSteps :many
SELECT run_id, step_id, step_type, config, status, remaining_deps, fired_deps, claim_id, attempt_count, output, error, graph_version, created_at, updated_at, started_at, finished_at, retry_policy, next_attempt_at, timeout, trace_span, cache_policy, budget_policy, validation_policy, feedback, blackboard_policy, context_policy, depth, origin_step, origin_kind FROM run_steps WHERE run_id = $1 ORDER BY step_id"
8082,1660.8837369999976,0.20550405060628643,8082,"copy ""step_logs"" ( ""run_id"", ""step_id"", ""attempt"", ""seq"", ""level"", ""message"", ""fields"", ""trace_id"", ""logged_at"" ) from stdin binary"
38165,1628.579632000002,0.04267207210795218,38165,"-- name: AppendEvent :one

INSERT INTO events (run_id, seq, type, payload)
VALUES ($1, $2, $3, $4)
RETURNING run_id, seq, type, payload, created_at"
9429,1224.3268169999978,0.1298469420935421,9429,"-- name: SucceedRunStep :one
UPDATE run_steps
SET status      = 'succeeded',
    output      = $1,
    feedback    = NULL,
    finished_at = $2::timestamptz,
    updated_at  = $2::timestamptz
WHERE run_id = $3 AND step_id = $4
  AND status = 'running' AND claim_id = $5
RETURNING run_id, step_id, step_type, config, status, remaining_deps, fired_deps, claim_id, attempt_count, output, error, graph_version, created_at, updated_at, started_at, finished_at, retry_policy, next_attempt_at, timeout, trace_span, cache_policy, budget_policy, validation_policy, feedback, blackboard_policy, context_policy, depth, origin_step, origin_kind"
16164,1193.7820419999957,0.07385437032912649,16164,"-- name: ApplyEdgeResolution :one
UPDATE run_steps
SET remaining_deps = remaining_deps - 1,
    fired_deps     = fired_deps + $1::int,
    updated_at     = $2::timestamptz
WHERE run_id = $3 AND step_id = $4 AND remaining_deps > 0
RETURNING run_id, step_id, step_type, config, status, remaining_deps, fired_deps, claim_id, attempt_count, output, error, graph_version, created_at, updated_at, started_at, finished_at, retry_policy, next_attempt_at, timeout, trace_span, cache_policy, budget_policy, validation_policy, feedback, blackboard_policy, context_policy, depth, origin_step, origin_kind"
96086,838.9501649999987,0.008731242480694235,96086,"SELECT 1 FROM ONLY ""public"".""runs"" x WHERE ""id"" OPERATOR(pg_catalog.=) $1 FOR KEY SHARE OF x"
16164,808.4040640000009,0.05001262459787177,16164,"-- name: ResolveRunEdge :one
UPDATE run_edges
SET resolution = $1
WHERE run_id = $2 AND ordinal = $3
  AND edge_type = 'normal' AND resolution = 'unresolved'
RETURNING run_id, ordinal, from_step, to_step, edge_type, when_expr, condition, max_iterations, resolution, graph_version, origin_step, origin_kind, decision"
9429,806.2420320000007,0.08550663188036912,9429,"-- name: ClaimRunStep :one

UPDATE run_steps
SET status          = 'running',
    claim_id        = $1,
    attempt_count   = attempt_count + 1,
    next_attempt_at = NULL,
    trace_span      = $2::text,
    started_at      = COALESCE(started_at, $3::timestamptz),
    updated_at      = $3::timestamptz
WHERE run_id = $4 AND step_id = $5
  AND (status = 'ready'
       OR (status = 'retrying' AND next_attempt_at <= $3::timestamptz))
RETURNING run_id, step_id, step_type, config, status, remaining_deps, fired_deps, claim_id, attempt_count, output, error, graph_version, created_at, updated_at, started_at, finished_at, retry_policy, next_attempt_at, timeout, trace_span, cache_policy, budget_policy, validation_policy, feedback, blackboard_policy, context_policy, depth, origin_step, origin_kind"
8082,805.3206069999957,0.09964372766641927,8082,"-- name: AddRunCost :one
UPDATE runs
SET spent_nano_usd = spent_nano_usd + $1::bigint,
    saved_nano_usd = saved_nano_usd + $2::bigint
WHERE id = $3
RETURNING spent_nano_usd, saved_nano_usd, budget_nano_usd"
